Bedroom,Bathroom,Area,Furnish,Floor,Price
1,1,30.23,Yes,7,2050000
1,1,35.26,Yes,4,1550000
2,1,66.00,Yes,3,6300000
1,1,27.00,Yes,7,1650000
1,1,31.00,No,4,529000
1,1,28.82,Yes,7,850000
1,1,28.00,Yes,7,1250000
1,1,21.50,No,8,990000
1,1,23.75,Yes,4,1850000
1,1,28.83,Yes,8,1350000
0,1,28.27,Yes,2,1190000
1,1,34.59,Yes,7,1200000
1,1,21.50,Yes,6,750000
1,2,26.50,Yes,3,122700
1,1,28.00,Yes,5,1250000
1,1,28.00,Yes,3,700000
2,2,139.00,Yes,17,29000000
2,2,92.00,Yes,15,19000000
2,2,78.00,Yes,32,16250000
